region,labelSubject,labelObject
Axial skeleton,Right twelfth rib,Twelfth thoracic vertebra
Skeleton of right upper limb,Right ulna,Right radius
Skeleton of right upper limb,Right ulna,Right humerus
Axial skeleton,Right zygomatic bone,Sphenoid bone
Axial skeleton,Right zygomatic bone,Right temporal bone
Axial skeleton,Right zygomatic bone,Frontal bone
Axial skeleton,Right zygomatic bone,Right maxilla
Axial skeleton,Sacrum,Left hip bone
Axial skeleton,Sacrum,Right hip bone
Axial skeleton,Sacrum,Fifth lumbar vertebra
Axial skeleton,Sacrum,Coccyx
Axial skeleton,Second lumbar vertebra,Third lumbar vertebra
Axial skeleton,Second lumbar vertebra,First lumbar vertebra
Axial skeleton,Second thoracic vertebra,Third thoracic vertebra
Axial skeleton,Second thoracic vertebra,First thoracic vertebra
Axial skeleton,Second thoracic vertebra,Left second rib
Axial skeleton,Second thoracic vertebra,Right second rib
Axial skeleton,Seventh cervical vertebra,First thoracic vertebra
Axial skeleton,Seventh cervical vertebra,Sixth cervical vertebra
Axial skeleton,Seventh thoracic vertebra,Left seventh rib
Axial skeleton,Seventh thoracic vertebra,Right seventh rib
Axial skeleton,Seventh thoracic vertebra,Sixth thoracic vertebra
Axial skeleton,Seventh thoracic vertebra,Eighth thoracic vertebra
Axial skeleton,Sixth cervical vertebra,Fifth cervical vertebra
Axial skeleton,Sixth cervical vertebra,Seventh cervical vertebra
Axial skeleton,Sixth thoracic vertebra,Seventh thoracic vertebra
Axial skeleton,Sixth thoracic vertebra,Left sixth rib
Axial skeleton,Sixth thoracic vertebra,Right sixth rib
Axial skeleton,Sixth thoracic vertebra,Fifth thoracic vertebra
Axial skeleton,Sphenoid bone,Left zygomatic bone
Axial skeleton,Sphenoid bone,Left palatine bone
Axial skeleton,Sphenoid bone,Left temporal bone
Axial skeleton,Sphenoid bone,Occipital bone
Axial skeleton,Sphenoid bone,Right parietal bone
Axial skeleton,Sphenoid bone,Right zygomatic bone
Axial skeleton,Sphenoid bone,Right palatine bone
Axial skeleton,Sphenoid bone,Right temporal bone
Axial skeleton,Sphenoid bone,Left parietal bone
Axial skeleton,Sphenoid bone,Frontal bone
Axial skeleton,Sphenoid bone,Vomer
Axial skeleton,Sphenoid bone,Ethmoid
Axial skeleton,Sternum,Right second costal cartilage
Axial skeleton,Sternum,Right fifth costal cartilage
Axial skeleton,Sternum,Right seventh costal cartilage
Axial skeleton,Sternum,Right third costal cartilage
Axial skeleton,Sternum,Left clavicle
Axial skeleton,Sternum,Left fifth costal cartilage
Axial skeleton,Sternum,Right sixth costal cartilage
Axial skeleton,Sternum,Left second costal cartilage
Axial skeleton,Sternum,Right fourth costal cartilage
Axial skeleton,Sternum,Left fourth costal cartilage
Axial skeleton,Sternum,Right clavicle
Axial skeleton,Sternum,Left sixth costal cartilage
Axial skeleton,Sternum,Right first costal cartilage
Axial skeleton,Sternum,Left third costal cartilage
Axial skeleton,Sternum,Left seventh costal cartilage
Axial skeleton,Sternum,Left first costal cartilage
Axial skeleton,Tenth thoracic vertebra,Eleventh thoracic vertebra
Axial skeleton,Tenth thoracic vertebra,Left tenth rib
Axial skeleton,Tenth thoracic vertebra,Ninth thoracic vertebra
Axial skeleton,Tenth thoracic vertebra,Right tenth rib
Axial skeleton,Third cervical vertebra,Axis
Axial skeleton,Third cervical vertebra,Fourth cervical vertebra
Axial skeleton,Third lumbar vertebra,Fourth lumbar vertebra
Axial skeleton,Third lumbar vertebra,Second lumbar vertebra
Axial skeleton,Third thoracic vertebra,Second thoracic vertebra
Axial skeleton,Third thoracic vertebra,Left third rib
Axial skeleton,Third thoracic vertebra,Fourth thoracic vertebra
Axial skeleton,Third thoracic vertebra,Right third rib
Axial skeleton,Twelfth thoracic vertebra,Eleventh thoracic vertebra
Axial skeleton,Twelfth thoracic vertebra,Right twelfth rib
Axial skeleton,Twelfth thoracic vertebra,First lumbar vertebra
Axial skeleton,Twelfth thoracic vertebra,Left twelfth rib
Axial skeleton,Vomer,Sphenoid bone
Axial skeleton,Vomer,Left palatine bone
Axial skeleton,Vomer,Left maxilla
Axial skeleton,Vomer,Right palatine bone
Axial skeleton,Vomer,Right maxilla
Axial skeleton,Vomer,Ethmoid
